series_id	year	period	value	footnote_codes
CUURA000AA0      	1986	M12	       100.0	          
CUURA000AA0      	1987	M01	       100.6	          
CUURA000AA0      	1987	M02	       101.1	          
CUURA000AA0      	1987	M03	       101.6	          
CUURA000AA0      	1987	M04	       102.2	          
CUURA000AA0      	1987	M05	       102.5	          
CUURA000AA0      	1987	M06	       103.0	          
CUURA000AA0      	1987	M07	       103.2	          
CUURA000AA0      	1987	M08	       103.8	          
CUURA000AA0      	1987	M09	       104.4	          
CUURA000AA0      	1987	M10	       104.6	          
CUURA000AA0      	1987	M11	       104.8	          
CUURA000AA0      	1987	M12	       104.7	          
CUURA000AA0      	1987	M13	       103.0	          
CUURA000AA0      	1988	M01	       105.0	          
CUURA000AA0      	1988	M02	       105.3	          
CUURA000AA0      	1988	M03	       105.7	          
CUURA000AA0      	1988	M04	       106.3	          
CUURA000AA0      	1988	M05	       106.7	          
CUURA000AA0      	1988	M06	       107.2	          
CUURA000AA0      	1988	M07	       107.6	          
CUURA000AA0      	1988	M08	       108.2	          
CUURA000AA0      	1988	M09	       109.0	          
CUURA000AA0      	1988	M10	       109.2	          
CUURA000AA0      	1988	M11	       109.2	          
CUURA000AA0      	1988	M12	       109.4	          
CUURA000AA0      	1988	M13	       107.4	          
CUURA000AA0      	1989	M01	       110.0	          
CUURA000AA0      	1989	M02	       110.5	          
CUURA000AA0      	1989	M03	       111.2	          
CUURA000AA0      	1989	M04	       111.8	          
CUURA000AA0      	1989	M05	       112.4	          
CUURA000AA0      	1989	M06	       112.7	          
CUURA000AA0      	1989	M07	       113.1	          
CUURA000AA0      	1989	M08	       113.2	          
CUURA000AA0      	1989	M09	       113.8	          
CUURA000AA0      	1989	M10	       114.2	          
CUURA000AA0      	1989	M11	       114.3	          
CUURA000AA0      	1989	M12	       114.4	          
CUURA000AA0      	1990	M01	       115.7	          
CUURA000AA0      	1990	M02	       116.3	          
CUURA000AA0      	1990	M03	       117.1	          
CUURA000AA0      	1990	M04	       117.4	          
CUURA000AA0      	1990	M05	       117.5	          
CUURA000AA0      	1990	M06	       118.1	          
CUURA000AA0      	1990	M07	       118.7	          
CUURA000AA0      	1990	M08	       119.6	          
CUURA000AA0      	1990	M09	       120.6	          
CUURA000AA0      	1990	M10	       121.3	          
CUURA000AA0      	1990	M11	       121.5	          
CUURA000AA0      	1990	M12	       121.6	          
CUURA000AA0      	1991	M01	       122.3	          
CUURA000AA0      	1991	M02	       122.5	          
CUURA000AA0      	1991	M03	       122.6	          
CUURA000AA0      	1991	M04	       122.8	          
CUURA000AA0      	1991	M05	       123.3	          
CUURA000AA0      	1991	M06	       123.7	          
CUURA000AA0      	1991	M07	       123.9	          
CUURA000AA0      	1991	M08	       124.2	          
CUURA000AA0      	1991	M09	       124.8	          
CUURA000AA0      	1991	M10	       124.9	          
CUURA000AA0      	1991	M11	       125.2	          
CUURA000AA0      	1991	M12	       125.3	          
CUURA000AA0      	1991	M13	       123.8	          
CUURA000AA0      	1992	M01	       125.7	          
CUURA000AA0      	1992	M02	       126.1	          
CUURA000AA0      	1992	M03	       126.7	          
CUURA000AA0      	1992	M04	       126.8	          
CUURA000AA0      	1992	M05	       127.0	          
CUURA000AA0      	1992	M06	       127.5	          
CUURA000AA0      	1992	M07	       127.7	          
CUURA000AA0      	1992	M08	       128.1	          
CUURA000AA0      	1992	M09	       128.5	          
CUURA000AA0      	1992	M10	       128.9	          
CUURA000AA0      	1992	M11	       129.0	          
CUURA000AA0      	1992	M12	       129.0	          
CUURA000AA0      	1992	M13	       127.6	          
CUURA000AA0      	1993	M01	       129.7	          
CUURA000AA0      	1993	M02	       130.3	          
CUURA000AA0      	1993	M03	       130.6	          
CUURA000AA0      	1993	M04	       130.9	          
CUURA000AA0      	1993	M05	       131.0	          
CUURA000AA0      	1993	M06	       131.1	          
CUURA000AA0      	1993	M07	       131.2	          
CUURA000AA0      	1993	M08	       131.6	          
CUURA000AA0      	1993	M09	       131.9	          
CUURA000AA0      	1993	M10	       132.3	          
CUURA000AA0      	1993	M11	       132.5	          
CUURA000AA0      	1993	M12	       132.5	          
CUURA000AA0      	1993	M13	       131.3	          
CUURA000AA0      	1994	M01	       132.7	          
CUURA000AA0      	1994	M02	       133.3	          
CUURA000AA0      	1994	M03	       133.9	          
CUURA000AA0      	1994	M04	       133.9	          
CUURA000AA0      	1994	M05	       133.9	          
CUURA000AA0      	1994	M06	       134.3	          
CUURA000AA0      	1994	M07	       134.6	          
CUURA000AA0      	1994	M08	       135.2	          
CUURA000AA0      	1994	M09	       135.4	          
CUURA000AA0      	1994	M10	       135.5	          
CUURA000AA0      	1994	M11	       135.6	          
CUURA000AA0      	1994	M12	       135.6	          
CUURA000AA0      	1994	M13	       134.5	          
CUURA000AA0      	1995	M01	       136.2	          
CUURA000AA0      	1995	M02	       136.7	          
CUURA000AA0      	1995	M03	       137.2	          
CUURA000AA0      	1995	M04	       137.5	          
CUURA000AA0      	1995	M05	       137.7	          
CUURA000AA0      	1995	M06	       137.9	          
CUURA000AA0      	1995	M07	       137.9	          
CUURA000AA0      	1995	M08	       138.2	          
CUURA000AA0      	1995	M09	       138.5	          
CUURA000AA0      	1995	M10	       138.8	          
CUURA000AA0      	1995	M11	       138.7	          
CUURA000AA0      	1995	M12	       138.6	          
CUURA000AA0      	1995	M13	       137.8	          
CUURA000AA0      	1996	M01	       139.5	          
CUURA000AA0      	1996	M02	       140.0	          
CUURA000AA0      	1996	M03	       140.7	          
CUURA000AA0      	1996	M04	       141.1	          
CUURA000AA0      	1996	M05	       141.3	          
CUURA000AA0      	1996	M06	       141.4	          
CUURA000AA0      	1996	M07	       141.7	          
CUURA000AA0      	1996	M08	       141.9	          
CUURA000AA0      	1996	M09	       142.4	          
CUURA000AA0      	1996	M10	       142.7	          
CUURA000AA0      	1996	M11	       142.9	          
CUURA000AA0      	1996	M12	       142.9	          
CUURA000AA0      	1996	M13	       141.5	          
CUURA000AA0      	1997	M01	       143.6	          
CUURA000AA0      	1997	M02	       144.1	          
CUURA000AA0      	1997	M03	       144.4	          
CUURA000AA0      	1997	M04	       144.5	          
CUURA000AA0      	1997	M05	       144.5	          
CUURA000AA0      	1997	M06	       144.6	          
CUURA000AA0      	1997	M07	       144.8	          
CUURA000AA0      	1997	M08	       145.1	          
CUURA000AA0      	1997	M09	       145.6	          
CUURA000AA0      	1997	M10	       146.0	          
CUURA000AA0      	1997	M11	       145.8	          
CUURA000AA0      	1997	M12	       145.7	          
CUURA000AA0      	1997	M13	       144.9	          
CUURA000AA0      	1998	M01	       146.0	          
CUURA000AA0      	1998	M02	       146.4	          
CUURA000AA0      	1998	M03	       146.6	          
CUURA000AA0      	1998	M04	       147.0	          
CUURA000AA0      	1998	M05	       147.3	          
CUURA000AA0      	1998	M06	       147.5	          
CUURA000AA0      	1998	M07	       147.7	          
CUURA000AA0      	1998	M08	       148.1	          
CUURA000AA0      	1998	M09	       148.2	          
CUURA000AA0      	1998	M10	       148.5	          
CUURA000AA0      	1998	M11	       148.5	          
CUURA000AA0      	1998	M12	       148.4	          
CUURA000AA0      	1998	M13	       147.5	          
CUURA000AA0      	1999	M01	       148.9	          
CUURA000AA0      	1999	M02	       149.0	          
CUURA000AA0      	1999	M03	       149.5	          
CUURA000AA0      	1999	M04	       150.5	          
CUURA000AA0      	1999	M05	       150.5	          
CUURA000AA0      	1999	M06	       150.7	          
CUURA000AA0      	1999	M07	       151.1	          
CUURA000AA0      	1999	M08	       151.6	          
CUURA000AA0      	1999	M09	       152.2	          
CUURA000AA0      	1999	M10	       152.6	          
CUURA000AA0      	1999	M11	       152.5	          
CUURA000AA0      	1999	M12	       152.5	          
CUURA000AA0      	1999	M13	       151.0	          
CUURA000AA0      	2000	M01	       153.1	          
CUURA000AA0      	2000	M02	       154.0	          
CUURA000AA0      	2000	M03	       155.2	          
CUURA000AA0      	2000	M04	       155.3	          
CUURA000AA0      	2000	M05	       155.5	          
CUURA000AA0      	2000	M06	       156.4	          
CUURA000AA0      	2000	M07	       156.8	          
CUURA000AA0      	2000	M08	       157.0	          
CUURA000AA0      	2000	M09	       157.8	          
CUURA000AA0      	2000	M10	       158.1	          
CUURA000AA0      	2000	M11	       158.2	          
CUURA000AA0      	2000	M12	       158.1	          
CUURA000AA0      	2000	M13	       156.3	          
CUURA000AA0      	2001	M01	       159.2	          
CUURA000AA0      	2001	M02	       159.9	          
CUURA000AA0      	2001	M03	       160.3	          
CUURA000AA0      	2001	M04	       160.9	          
CUURA000AA0      	2001	M05	       161.6	          
CUURA000AA0      	2001	M06	       162.1	          
CUURA000AA0      	2001	M07	       161.8	          
CUURA000AA0      	2001	M08	       161.9	          
CUURA000AA0      	2001	M09	       162.5	          
CUURA000AA0      	2001	M10	       162.0	          
CUURA000AA0      	2001	M11	       161.7	          
CUURA000AA0      	2001	M12	       161.1	          
CUURA000AA0      	2001	M13	       161.3	          
CUURA000AA0      	2002	M01	       161.6	          
CUURA000AA0      	2002	M02	       162.5	          
CUURA000AA0      	2002	M03	       163.4	          
CUURA000AA0      	2002	M04	       164.2	          
CUURA000AA0      	2002	M05	       164.3	          
CUURA000AA0      	2002	M06	       164.5	          
CUURA000AA0      	2002	M07	       164.6	          
CUURA000AA0      	2002	M08	       165.3	          
CUURA000AA0      	2002	M09	       165.5	          
CUURA000AA0      	2002	M10	       165.8	          
CUURA000AA0      	2002	M11	       165.7	          
CUURA000AA0      	2002	M12	       165.4	          
CUURA000AA0      	2002	M13	       164.4	          
CUURA000AA0      	2003	M01	       166.1	          
CUURA000AA0      	2003	M02	       167.5	          
CUURA000AA0      	2003	M03	       168.4	          
CUURA000AA0      	2003	M04	       168.0	          
CUURA000AA0      	2003	M05	       167.9	          
CUURA000AA0      	2003	M06	       168.2	          
CUURA000AA0      	2003	M07	       168.3	          
CUURA000AA0      	2003	M08	       169.0	          
CUURA000AA0      	2003	M09	       169.6	          
CUURA000AA0      	2003	M10	       169.5	          
CUURA000AA0      	2003	M11	       168.9	          
CUURA000AA0      	2003	M12	       168.7	          
CUURA000AA0      	2003	M13	       168.3	          
CUURA000AA0      	2004	M01	       169.4	          
CUURA000AA0      	2004	M02	       170.4	          
CUURA000AA0      	2004	M03	       171.5	          
CUURA000AA0      	2004	M04	       172.0	          
CUURA000AA0      	2004	M05	       172.9	          
CUURA000AA0      	2004	M06	       173.4	          
CUURA000AA0      	2004	M07	       173.1	          
CUURA000AA0      	2004	M08	       173.2	          
CUURA000AA0      	2004	M09	       173.6	          
CUURA000AA0      	2004	M10	       174.6	          
CUURA000AA0      	2004	M11	       174.6	          
CUURA000AA0      	2004	M12	       174.0	          
CUURA000AA0      	2004	M13	       172.7	          
CUURA000AA0      	2005	M01	       174.3	          
CUURA000AA0      	2005	M02	       175.5	          
CUURA000AA0      	2005	M03	       177.0	          
CUURA000AA0      	2005	M04	       178.1	          
CUURA000AA0      	2005	M05	       178.0	          
CUURA000AA0      	2005	M06	       177.9	          
CUURA000AA0      	2005	M07	       178.6	          
CUURA000AA0      	2005	M08	       179.6	          
CUURA000AA0      	2005	M09	       181.7	          
CUURA000AA0      	2005	M10	       182.1	          
CUURA000AA0      	2005	M11	       180.8	          
CUURA000AA0      	2005	M12	       180.0	          
CUURA000AA0      	2005	M13	       178.6	          
CUURA000AA0      	2006	M01	       181.4	          
CUURA000AA0      	2006	M02	       181.9	          
CUURA000AA0      	2006	M03	       182.8	          
CUURA000AA0      	2006	M04	       184.3	          
CUURA000AA0      	2006	M05	       185.3	          
CUURA000AA0      	2006	M06	       185.6	          
CUURA000AA0      	2006	M07	       186.2	          
CUURA000AA0      	2006	M08	       186.7	          
CUURA000AA0      	2006	M09	       186.1	          
CUURA000AA0      	2006	M10	       185.0	          
CUURA000AA0      	2006	M11	       184.7	          
CUURA000AA0      	2006	M12	       184.9	          
CUURA000AA0      	2006	M13	       184.6	          
CUURA000AA0      	2007	M01	     185.608	          
CUURA000AA0      	2007	M02	     186.673	          
CUURA000AA0      	2007	M03	     188.309	          
CUURA000AA0      	2007	M04	     189.327	          
CUURA000AA0      	2007	M05	     190.327	          
CUURA000AA0      	2007	M06	     190.637	          
CUURA000AA0      	2007	M07	     190.571	          
CUURA000AA0      	2007	M08	     190.382	          
CUURA000AA0      	2007	M09	     190.962	          
CUURA000AA0      	2007	M10	     191.324	          
CUURA000AA0      	2007	M11	     192.224	          
CUURA000AA0      	2007	M12	     192.140	          
CUURA000AA0      	2007	M13	     189.874	          
CUURA000AA0      	2008	M01	     193.045	          
CUURA000AA0      	2008	M02	     193.685	          
CUURA000AA0      	2008	M03	     195.314	          
CUURA000AA0      	2008	M04	     196.191	          
CUURA000AA0      	2008	M05	     197.898	          
CUURA000AA0      	2008	M06	     199.840	          
CUURA000AA0      	2008	M07	     200.941	          
CUURA000AA0      	2008	M08	     200.278	          
CUURA000AA0      	2008	M09	     199.982	          
CUURA000AA0      	2008	M10	     198.148	          
CUURA000AA0      	2008	M11	     194.628	          
CUURA000AA0      	2008	M12	     192.646	          
CUURA000AA0      	2008	M13	     196.883	          
CUURA000AA0      	2009	M01	     193.412	          
CUURA000AA0      	2009	M02	     194.354	          
CUURA000AA0      	2009	M03	     194.750	          
CUURA000AA0      	2009	M04	     195.207	          
CUURA000AA0      	2009	M05	     195.745	          
CUURA000AA0      	2009	M06	     197.214	          
CUURA000AA0      	2009	M07	     196.987	          
CUURA000AA0      	2009	M08	     197.614	          
CUURA000AA0      	2009	M09	     197.724	          
CUURA000AA0      	2009	M10	     197.670	          
CUURA000AA0      	2009	M11	     197.697	          
CUURA000AA0      	2009	M12	     197.246	          
CUURA000AA0      	2009	M13	     196.302	          
CUURA000AA0      	2010	M01	     197.948	          
CUURA000AA0      	2010	M02	     197.949	          
CUURA000AA0      	2010	M03	     198.695	          
CUURA000AA0      	2010	M04	     199.043	          
CUURA000AA0      	2010	M05	     199.358	          
CUURA000AA0      	2010	M06	     199.183	          
CUURA000AA0      	2010	M07	     199.224	          
CUURA000AA0      	2010	M08	     199.477	          
CUURA000AA0      	2010	M09	     199.617	          
CUURA000AA0      	2010	M10	     199.842	          
CUURA000AA0      	2010	M11	     199.844	          
