series_id	year	period	value	footnote_codes
CUSR0000SAE      	1993	M01	        84.1	          
CUSR0000SAE      	1993	M02	        84.3	          
CUSR0000SAE      	1993	M03	        84.6	          
CUSR0000SAE      	1993	M04	        84.8	          
CUSR0000SAE      	1993	M05	        85.2	          
CUSR0000SAE      	1993	M06	        85.4	          
CUSR0000SAE      	1993	M07	        85.6	          
CUSR0000SAE      	1993	M08	        86.0	          
CUSR0000SAE      	1993	M09	        86.3	          
CUSR0000SAE      	1993	M10	        86.5	          
CUSR0000SAE      	1993	M11	        86.8	          
CUSR0000SAE      	1993	M12	        87.2	          
CUSR0000SAE      	1994	M01	        87.3	          
CUSR0000SAE      	1994	M02	        87.9	          
CUSR0000SAE      	1994	M03	        88.1	          
CUSR0000SAE      	1994	M04	        88.3	          
CUSR0000SAE      	1994	M05	        88.6	          
CUSR0000SAE      	1994	M06	        88.9	          
CUSR0000SAE      	1994	M07	        89.1	          
CUSR0000SAE      	1994	M08	        89.3	          
CUSR0000SAE      	1994	M09	        89.4	          
CUSR0000SAE      	1994	M10	        89.6	          
CUSR0000SAE      	1994	M11	        89.8	          
CUSR0000SAE      	1994	M12	        90.1	          
CUSR0000SAE      	1995	M01	        91.1	          
CUSR0000SAE      	1995	M02	        91.2	          
CUSR0000SAE      	1995	M03	        91.3	          
CUSR0000SAE      	1995	M04	        91.6	          
CUSR0000SAE      	1995	M05	        91.7	          
CUSR0000SAE      	1995	M06	        92.1	          
CUSR0000SAE      	1995	M07	        92.3	          
CUSR0000SAE      	1995	M08	        92.5	          
CUSR0000SAE      	1995	M09	        92.9	          
CUSR0000SAE      	1995	M10	        93.1	          
CUSR0000SAE      	1995	M11	        93.3	          
CUSR0000SAE      	1995	M12	        93.7	          
CUSR0000SAE      	1996	M01	        93.9	          
CUSR0000SAE      	1996	M02	        94.2	          
CUSR0000SAE      	1996	M03	        94.6	          
CUSR0000SAE      	1996	M04	        94.3	          
CUSR0000SAE      	1996	M05	        95.0	          
CUSR0000SAE      	1996	M06	        95.3	          
CUSR0000SAE      	1996	M07	        95.6	          
CUSR0000SAE      	1996	M08	        95.8	          
CUSR0000SAE      	1996	M09	        96.1	          
CUSR0000SAE      	1996	M10	        96.4	          
CUSR0000SAE      	1996	M11	        96.6	          
CUSR0000SAE      	1996	M12	        96.9	          
CUSR0000SAE      	1997	M01	        97.2	          
CUSR0000SAE      	1997	M02	        97.4	          
CUSR0000SAE      	1997	M03	        97.7	          
CUSR0000SAE      	1997	M04	        97.9	          
CUSR0000SAE      	1997	M05	        98.2	          
CUSR0000SAE      	1997	M06	        98.5	          
CUSR0000SAE      	1997	M07	        98.7	          
CUSR0000SAE      	1997	M08	        98.7	          
CUSR0000SAE      	1997	M09	        99.0	          
